timestamp,value,Games,Wins,Mvps
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Taketora,1852,484,484
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Rintaro,134610,73346,73346
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Hidari2,15787,8532,8532
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Tobio,7958,2588,2588
2026-01-10T00:00:00.000Z,Twos_Silver_Ability_SteelBlock,68687,27020,12907
2026-01-10T00:00:00.000Z,Casual-Twos_Silver_Style_TimeskipShoyo3,8629,5134,2858
2026-01-10T00:00:00.000Z,Twos_Silver_Ability_ZeroGravitySet,37677,11927,5137
2026-01-10T00:00:00.000Z,Casual-Ones_Silver_Ability_SteelBlock,2969,1253,1253
2026-01-10T00:00:00.000Z,Ones_Silver_Style_TeamCaptain2,1769,990,990
2026-01-10T00:00:00.000Z,Twos_Silver_Style_Kei,1697,492,228
2026-01-10T00:00:00.000Z,Twos_Silver_Ability_Moonball,20123,7034,3231
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Wakatoshi,13251,4774,4774
2026-01-10T00:00:00.000Z,Twos_Silver_Style_Jester,10870,5761,2650
2026-01-10T00:00:00.000Z,Casual-Threes_Silver_Ability_SteelBlock,1158,527,127
2026-01-10T00:00:00.000Z,Casual-Threes_Silver_Ability_ZeroGravitySet,624,223,42
2026-01-10T00:00:00.000Z,Casual-Ones_Silver_Style_Morisuke,281,84,84
2026-01-10T00:00:00.000Z,Casual-Twos_Silver_Style_TimeskipTobio2,515,300,155
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Twin1,346,176,176
2026-01-10T00:00:00.000Z,Casual-Twos_Silver_Ability_DivineStrength,3719,1601,719
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Kenma,678,162,162
2026-01-10T00:00:00.000Z,Ones_Bronze_Ability_RollingThunder,1668,558,558
2026-01-10T00:00:00.000Z,Casual-Threes_Silver_Style_Jester,124,65,22
2026-01-10T00:00:00.000Z,Twos_Bronze_Style_Hakka2,3780,1475,905
2026-01-10T00:00:00.000Z,Twos_Bronze_Ability_BoomJump,12452,4591,2160
2026-01-10T00:00:00.000Z,Casual-Ones_Silver_Style_Lev,195,102,102
2026-01-10T00:00:00.000Z,Threes_Silver_Style_TimeskipTobio2,2656,1754,992
2026-01-10T00:00:00.000Z,Threes_Silver_Style_Jester2,8655,4061,1068
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Twin2_2,897,483,483
2026-01-10T00:00:00.000Z,Ones_Bronze_Ability_SuperSprint,2547,969,969
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Shinsuke,273,70,70
2026-01-10T00:00:00.000Z,Threes_Bronze_Ability_MagneticPull,7571,3395,1297
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Shoyo,427,122,122
2026-01-10T00:00:00.000Z,Twos_Bronze_Style_Twin2_3,2179,882,479
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Daichi,884,225,225
2026-01-10T00:00:00.000Z,Twos_Bronze_Style_Kazana2,6106,2590,1293
2026-01-10T00:00:00.000Z,Threes_Bronze_Ability_FourthTouch,3734,1577,570
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Hakka,1463,803,803
2026-01-10T00:00:00.000Z,Fours_Silver_Style_Hidari,381,200,36
2026-01-10T00:00:00.000Z,Fours_Silver_Style_Kimiro,934,325,47
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_TimeskipTobio3,641,306,306
2026-01-10T00:00:00.000Z,Fours_Silver_Style_Ryunosuke,28,9,1
2026-01-10T00:00:00.000Z,Fours_Silver_Ability_TeamSpirit,199,67,18
2026-01-10T00:00:00.000Z,Casual-Threes_Silver_Style_Morisuke,61,23,4
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Twin1_2,129,64,64
2026-01-10T00:00:00.000Z,Ones_Bronze_Style_Kazana,159,94,94
2026-01-10T00:00:00.000Z,Sixes_Silver_Ability_RollingThunder,35,9,1
2026-01-10T00:00:00.000Z,Sixes_Silver_Style_TimeskipTobio3,109,55,19
2026-01-10T00:00:00.000Z,Sixes_Bronze_Style_Rintaro,60,14,2
2026-01-10T00:00:00.000Z,Casual-Fours_Silver_Style_Taketora,1,1,1
2026-01-10T00:00:00.000Z,Sixes_Silver_Style_Hakka,44,20,8
2026-01-10T00:00:00.000Z,Sixes_Silver_Style_Shoyo,5,0,0
2026-01-10T00:00:00.000Z,Sixes_Silver_Style_Shinsuke,7,3,0
2026-01-10T00:00:00.000Z,Sixes_Bronze_Style_Tobio,7,2,1
2026-01-10T00:00:00.000Z,Casual-Fours_Silver_Style_TeamCaptain2,3,0,0
2026-01-10T00:00:00.000Z,Fours_Bronze_Style_Tetsuro,48,11,0
2026-01-10T00:00:00.000Z,Ones_Gold_Style_Feiko,1234,561,561
2026-01-10T00:00:00.000Z,Sixes_Bronze_Style_Twin1,2,1,0
2026-01-10T00:00:00.000Z,Fours_Bronze_Style_TimeskipShoyo,20,13,3
2026-01-10T00:00:00.000Z,Ones_Gold_Ability_CurveSpike,374,163,163
2026-01-10T00:00:00.000Z,Ones_Gold_Style_Tetsuro,14,8,8
2026-01-10T00:00:00.000Z,Twos_Gold_Style_TimeskipShoyo2,5070,3119,1713
2026-01-10T00:00:00.000Z,Twos_Gold_Ability_ShieldBreaker,5542,3136,1648
2026-01-10T00:00:00.000Z,Twos_Gold_Style_Kotaru,40,22,15
2026-01-10T00:00:00.000Z,Sixes_Bronze_Style_Taketora,2,0,0
2026-01-10T00:00:00.000Z,Threes_Gold_Style_Kazana2,41,21,2
2026-01-10T00:00:00.000Z,Fours_Gold_Style_TimeskipTobio3,17,8,6
2026-01-10T00:00:00.000Z,Twos_Gold_Style_Hajime,19,7,4
2026-01-10T00:00:00.000Z,Sixes_Bronze_Style_TeamCaptain2,3,0,0
2026-01-10T00:00:00.000Z,Fours_Gold_Style_Twin1_2,1,0,0
2026-01-10T00:00:00.000Z,Casual-Threes_Silver_Style_Lev,6,0,0
2026-01-10T00:00:00.000Z,Threes_Gold_Style_TimeskipToru,5,2,1
2026-01-10T00:00:00.000Z,Sixes_Silver_Style_Koshi,3,2,1
2026-01-10T00:00:00.000Z,Twos_Diamond_Ability_MagneticPull,40,23,15
2026-01-10T00:00:00.000Z,Threes_Gold_Style_Yogan,6,6,1
2026-01-10T00:00:00.000Z,Ones_Diamond_Style_Twin2_3,2,1,1
2026-01-10T00:00:00.000Z,Ones_Silver_Ability_Moonball,17325,6790,6790
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Kimiro,8710,2688,2688
2026-01-10T00:00:00.000Z,Twos_Silver_Style_Twin2_2,2747,1518,901
2026-01-10T00:00:00.000Z,Twos_Silver_Style_TimeskipShoyo3,98037,58218,33321
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Lev,1081,322,322
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Ohira,1673,490,490
2026-01-10T00:00:00.000Z,Casual-Twos_Silver_Style_Kimiro,1928,738,324
2026-01-10T00:00:00.000Z,Threes_Silver_Ability_ZeroGravitySet,7472,2428,580
2026-01-10T00:00:00.000Z,Casual-Ones_Silver_Style_Wakatoshi,1140,442,442
2026-01-10T00:00:00.000Z,Ones_Silver_Style_Ryunosuke,658,176,176
2026-01-10T00:00:00.000Z,Twos_Bronze_Style_TimeskipShoyo2,8212,4627,2704
