timestamp,value,Games,Wins,Mvps
2026-03-26T00:00:00.000Z,Twos_Silver_Style_Kazana2,2142,1051,525
2026-03-26T00:00:00.000Z,Twos_Silver_Ability_ShieldBreaker,37383,19433,10215
2026-03-26T00:00:00.000Z,Twos_Bronze_Style_Lev,323,83,37
2026-03-26T00:00:00.000Z,Twos_Bronze_Ability_ZeroGravitySet,7953,2661,1178
2026-03-26T00:00:00.000Z,OnesMini_Silver_Ability_SteelBlock,7699,3474,3474
2026-03-26T00:00:00.000Z,Ones_Gold_Style_Rintaro,5611,2881,2881
2026-03-26T00:00:00.000Z,OnesMini_Bronze_Style_Kotaru,3444,1541,1541
2026-03-26T00:00:00.000Z,Twos_Silver_Style_Kurai,6565,3391,1884
2026-03-26T00:00:00.000Z,OnesMini_Silver_Style_Rintaro,19993,10361,10361
2026-03-26T00:00:00.000Z,Threes_Silver_Style_TimeskipToru2,333,178,84
2026-03-26T00:00:00.000Z,Threes_Silver_Style_TimeskipShoyo2,1168,655,209
2026-03-26T00:00:00.000Z,Ones_Bronze_Style_Mikage3,1478,853,853
2026-03-26T00:00:00.000Z,Twos_Bronze_Style_Kijo,11217,5129,2726
2026-03-26T00:00:00.000Z,Twos_Legend_Ability_ShieldBreaker,695,470,243
2026-03-26T00:00:00.000Z,OnesMini_Silver_Style_Kimiro,1433,583,583
2026-03-26T00:00:00.000Z,Ones_Bronze_Ability_LeadFeet,891,475,475
2026-03-26T00:00:00.000Z,Ones_Bronze_Style_Kijo,3715,1921,1921
2026-03-26T00:00:00.000Z,OnesMini_Silver_Style_Morisuke,660,209,209
2026-03-26T00:00:00.000Z,Casual-Ones_Silver_Ability_ShieldBreaker,3061,1784,1784
2026-03-26T00:00:00.000Z,OnesMini_Bronze_Style_Asahi,1023,381,381
2026-03-26T00:00:00.000Z,Twos_Pro_Ability_MagneticPull,3778,1605,873
2026-03-26T00:00:00.000Z,Ones_Bronze_Ability_Moonball,2130,873,873
2026-03-26T00:00:00.000Z,Ones_Silver_Style_Hakka,400,200,200
2026-03-26T00:00:00.000Z,Casual-Ones_Silver_Style_Kurai,1027,667,667
2026-03-26T00:00:00.000Z,Twos_Bronze_Style_Hidari,638,314,166
2026-03-26T00:00:00.000Z,Twos_Silver_Style_TimeskipTobio3,1983,1024,556
2026-03-26T00:00:00.000Z,Twos_Diamond_Style_TimeskipShoyo3,2558,1333,678
2026-03-26T00:00:00.000Z,Ones_Silver_Style_Yogan2,1520,827,827
2026-03-26T00:00:00.000Z,Casual-Ones_Silver_Style_Kazana2,156,82,82
2026-03-26T00:00:00.000Z,Duel_Silver_Style_Tobio,542,243,243
2026-03-26T00:00:00.000Z,Twos_Silver_Style_Shinsuke,181,49,23
2026-03-26T00:00:00.000Z,Threes_Silver_Style_Hirugami,478,224,60
2026-03-26T00:00:00.000Z,Ones_Silver_Style_Tetsuro,518,180,180
2026-03-26T00:00:00.000Z,Twos_Diamond_Style_Twin1,121,77,53
2026-03-26T00:00:00.000Z,Duel_Silver_Ability_Moonball,871,379,379
2026-03-26T00:00:00.000Z,Threes_Bronze_Style_Lev,90,22,9
2026-03-26T00:00:00.000Z,Duel_Silver_Style_Wakatoshi,875,365,365
2026-03-26T00:00:00.000Z,Ones_Diamond_Style_Hidari2,13,8,8
2026-03-26T00:00:00.000Z,Casual-Ones_Silver_Style_Hirugami,133,51,51
2026-03-26T00:00:00.000Z,Twos_Legend_Style_Kurai,84,55,29
2026-03-26T00:00:00.000Z,Casual-Threes_Silver_Ability_ShieldBreaker,363,187,75
2026-03-26T00:00:00.000Z,Ones_Bronze_Style_Tobio,1311,526,526
2026-03-26T00:00:00.000Z,Fours_Silver_Style_Toru,74,32,7
2026-03-26T00:00:00.000Z,OnesMini_Bronze_Style_Yogan2,546,270,270
2026-03-26T00:00:00.000Z,OnesMini_Bronze_Style_Tetsuro,825,325,325
2026-03-26T00:00:00.000Z,Twos_Silver_Style_Kenma,446,122,53
2026-03-26T00:00:00.000Z,Threes_Silver_Style_Shoyo,105,18,9
2026-03-26T00:00:00.000Z,Twos_Diamond_Style_TeamCaptain,40,23,9
2026-03-26T00:00:00.000Z,Fours_Silver_Style_Yogan2,276,135,36
2026-03-26T00:00:00.000Z,Casual-Ones_Silver_Style_Shinsuke,19,6,6
2026-03-26T00:00:00.000Z,Fours_Silver_Style_Mikage,62,34,7
2026-03-26T00:00:00.000Z,Casual-Ones_Silver_Style_TimeskipTobio3,18,9,9
2026-03-26T00:00:00.000Z,Threes_Bronze_Style_Jester,280,115,30
2026-03-26T00:00:00.000Z,Twos_Pro_Style_Feiko,70,31,19
2026-03-26T00:00:00.000Z,Twos_Legend_Style_Kazana2,47,31,12
2026-03-26T00:00:00.000Z,Fours_Silver_Style_Twin2_3,18,11,1
