timestamp,value,Games,Wins
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_Moonball,2488,1211
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Tobio,2077,827
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Tetsuro,938,326
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Taketora,173,66
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_ZeroGravitySet,494,234
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Kimiro,1622,638
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_ShieldBreaker,2244,1044
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Kimiro,1455,667
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Twin1,259,150
2025-09-16T00:00:00.000Z,Twos_Gold_Style_TimeskipShoyo,143,78
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_MagneticPull,1392,726
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_RollingThunder,935,440
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Yogan,420,205
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_FourthTouch,944,492
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Yogan,1310,657
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Tobio,1425,652
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_TimeskipTobio,81,36
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Jester,300,149
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_SuperSprint,2059,783
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_TeamCaptain,175,74
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Toru,166,78
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Ryunosuke,234,62
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Kotaru,835,309
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_FourthTouch,478,251
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Wakatoshi,558,198
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_CurveSpike,656,312
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_TimeskipTobio2,1394,638
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Rintaro,2382,1249
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_ShieldBreaker,1437,824
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_RedirectionJump,644,372
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Hirugami,7,6
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_BoomJump,232,135
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Shoyo,28,15
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Asahi,190,72
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_TeamSpirit,347,137
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Twin1,448,251
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Shoyo,87,34
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Tadashi,189,47
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Jester,828,432
2025-09-16T00:00:00.000Z,Threes_Silver_Style_TimeskipToru,66,39
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_BoomJump,1149,581
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Wakatoshi,203,91
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Kimiro,310,133
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Hirugami,486,245
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Kei,529,144
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Morisuke,715,222
2025-09-16T00:00:00.000Z,Twos_Silver_Style_TeamCaptain,380,212
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_RollingThunder,204,99
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Twin1,304,183
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Mikage,402,223
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_SteelBlock,47,16
2025-09-16T00:00:00.000Z,Threes_Pro_Style_TimeskipTobio2,31,26
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_Rintaro,167,87
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_ShieldBreaker,212,130
