timestamp,value,Games,Wins,Mvps
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_MagneticPull,5322,2827,1088
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Shinsuke,14,3,1
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Yu,12,6,0
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Daichi,15,4,0
2025-09-27T00:00:00.000Z,Sixes_Silver_Ability_CurveSpike,19,12,1
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Rintaro,5787,3398,922
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Kenma,281,70,16
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_RollingThunder,131,35,5
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Rintaro,147,125,8
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Shoyo,1,0,0
2025-09-27T00:00:00.000Z,Threes_Silver_Ability_BoomJump,1714,950,301
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_TeamCaptain,4,3,1
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Twin1,3189,2147,1333
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Wakatoshi,1320,355,82
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Kotaru,24,15,9
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Ryunosuke,9,4,1
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_TeamCaptain,633,327,174
2025-09-27T00:00:00.000Z,Fours_Gold_Style_TimeskipShoyo2,49,47,7
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Jester,573,233,56
2025-09-27T00:00:00.000Z,Threes_Silver_Style_TimeskipTobio,490,391,212
2025-09-27T00:00:00.000Z,Fours_Gold_Style_Yogan,3,2,1
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Hajime,141,35,7
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_SuperSprint,41,30,15
2025-09-27T00:00:00.000Z,Twos_Silver_Ability_RedirectionJump,14466,9074,4953
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Koshi,342,73,35
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Kotaru,587,146,15
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Kimiro,758,339,103
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Kimiro,160,85,20
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_SuperSprint,5139,1884,919
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Mikage,44,29,17
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Shoyo,3,2,0
2025-09-27T00:00:00.000Z,Fours_Silver_Ability_MagneticPull,752,545,173
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Hajime,5,2,0
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Twin2,1310,767,472
2025-09-27T00:00:00.000Z,Fours_Gold_Ability_ShieldBreaker,37,32,13
2025-09-27T00:00:00.000Z,Twos_Gold_Style_TimeskipShoyo,106,77,53
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_ZeroGravitySet,875,217,48
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_TeamSpirit,16,1,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Ohira,199,56,19
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Hajime,27,15,6
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Twin2,88,55,13
2025-09-27T00:00:00.000Z,Twos_Diamond_Style_TimeskipShoyo2,5,2,2
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_ZeroGravitySet,1,1,1
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Asahi,85,30,6
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Lev,61,19,10
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_TimeskipShoyo2,143,76,11
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_TimeskipShoyo,19,19,2
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_SteelBlock,1478,443,93
2025-09-27T00:00:00.000Z,Fours_Silver_Ability_TeamSpirit,20,12,4
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Taketora,1247,284,125
2025-09-27T00:00:00.000Z,Fours_Gold_Ability_SuperSprint,1,0,0
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_RollingThunder,4,3,3
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_ZeroGravitySet,3429,1091,271
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Morisuke,99,27,6
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_FourthTouch,150,101,55
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_TimeskipToru,1,1,0
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Rintaro,1000,646,286
2025-09-27T00:00:00.000Z,Threes_Silver_Ability_SteelBlock,2261,1169,374
2025-09-27T00:00:00.000Z,Fours_Silver_Ability_SteelBlock,436,253,49
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Tobio,10,1,0
2025-09-27T00:00:00.000Z,Twos_Silver_Ability_DivineStrength,3293,1564,729
2025-09-27T00:00:00.000Z,Twos_Silver_Style_TimeskipTobio2,13177,8400,4389
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Morisuke,15,5,1
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Twin1,398,267,111
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Koshi,3,1,0
2025-09-27T00:00:00.000Z,Fours_Gold_Style_Twin1,1,0,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Shoyo,75,21,11
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Taketora,11,1,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_TimeskipShoyo,1446,1064,620
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_TeamCaptain,126,62,34
2025-09-27T00:00:00.000Z,Fours_Silver_Style_TimeskipToru,18,11,4
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Morisuke,128,25,6
2025-09-27T00:00:00.000Z,Sixes_Gold_Style_Mikage,3,3,0
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_RollingThunder,24,6,0
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Hirugami,189,62,8
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Yogan,138,81,15
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Kimiro,103,36,2
2025-09-27T00:00:00.000Z,Fours_Silver_Style_TimeskipShoyo2,706,551,81
2025-09-27T00:00:00.000Z,Twos_Silver_Style_TeamCaptain,1825,1243,672
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Wakatoshi,8,6,0
2025-09-27T00:00:00.000Z,Threes_Gold_Style_TimeskipTobio,22,18,9
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_Moonball,90,17,2
2025-09-27T00:00:00.000Z,Twos_Silver_Ability_RollingThunder,1017,444,223
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Hirugami,55,15,6
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Hirugami,55,30,7
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Daichi,11,6,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Kotaru,4428,1714,784
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Tadashi,318,66,34
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Ryunosuke,42,13,2
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Kazana,416,216,66
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Jester,39,33,2
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Kazana,1672,952,477
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Ohira,7,0,0
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Koshi,3,0,0
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Tobio,78,40,6
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Wakatoshi,2129,742,325
2025-09-27T00:00:00.000Z,Twos_Diamond_Style_Twin2,1,1,1
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Kotaru,2331,770,211
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_RedirectionJump,2837,1406,511
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Yogan,7804,3389,1825
2025-09-27T00:00:00.000Z,Fours_Gold_Ability_SteelBlock,4,3,2
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_TeamSpirit,144,41,10
2025-09-27T00:00:00.000Z,Twos_Silver_Ability_ZeroGravitySet,6274,2604,1250
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Kazana,271,181,67
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Wakatoshi,10,3,2
2025-09-27T00:00:00.000Z,Fours_Silver_Style_TimeskipTobio,144,123,75
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Morisuke,426,117,30
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_TeamSpirit,545,172,48
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Jester,232,142,39
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Kenma,1382,302,128
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Wakatoshi,334,123,30
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Taketora,10,3,1
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Taketora,258,57,10
2025-09-27T00:00:00.000Z,Twos_Silver_Ability_Moonball,5108,2163,1025
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Wakatoshi,74,16,0
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Kotaru,665,276,64
2025-09-27T00:00:00.000Z,Fours_Gold_Style_TeamCaptain,2,2,0
2025-09-27T00:00:00.000Z,Sixes_Gold_Style_TimeskipTobio2,4,4,3
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Yu,1,0,0
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Jester,1255,705,174
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Jester,7412,3830,1797
2025-09-27T00:00:00.000Z,Twos_Gold_Style_TimeskipToru,56,40,31
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_DivineStrength,54,17,2
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_BoomJump,3983,1555,524
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Twin1,116,87,59
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_RedirectionJump,84,68,16
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Yogan,431,174,44
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_TimeskipTobio,439,293,163
2025-09-27T00:00:00.000Z,Sixes_Gold_Ability_MagneticPull,10,10,0
2025-09-27T00:00:00.000Z,Fours_Gold_Style_Rintaro,39,37,12
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Hajime,904,203,87
2025-09-27T00:00:00.000Z,Threes_Gold_Style_Twin2,8,8,3
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Morisuke,2,0,0
2025-09-27T00:00:00.000Z,Fours_Silver_Style_Kei,1,0,0
2025-09-27T00:00:00.000Z,Twos_Diamond_Ability_ShieldBreaker,5,1,1
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_Moonball,13498,4564,2126
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_TimeskipTobio,15,10,7
2025-09-27T00:00:00.000Z,Sixes_Gold_Style_TimeskipTobio,6,6,6
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_RollingThunder,2988,876,411
2025-09-27T00:00:00.000Z,Fours_Gold_Ability_FourthTouch,16,14,0
2025-09-27T00:00:00.000Z,Twos_Diamond_Style_TimeskipShoyo,1,0,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Daichi,271,68,30
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Shoyo,522,100,45
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Shinsuke,1,1,0
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Toru,56,11,1
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Morisuke,2016,519,223
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_CurveSpike,3058,1187,381
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_TimeskipTobio2,64,54,24
2025-09-27T00:00:00.000Z,Threes_Silver_Style_TimeskipTobio2,2713,1758,972
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Kei,197,31,5
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_MagneticPull,44,26,8
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_ShieldBreaker,27959,15014,8089
2025-09-27T00:00:00.000Z,Sixes_Silver_Ability_ShieldBreaker,164,146,25
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Hirugami,1007,410,201
2025-09-27T00:00:00.000Z,Threes_Gold_Style_TimeskipShoyo,21,17,7
2025-09-27T00:00:00.000Z,Threes_Silver_Ability_RollingThunder,187,100,35
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Tobio,8,6,0
2025-09-27T00:00:00.000Z,Sixes_Silver_Style_Toru,4,2,1
2025-09-27T00:00:00.000Z,Sixes_Bronze_Style_Ryunosuke,7,1,0
2025-09-27T00:00:00.000Z,Sixes_Bronze_Ability_,1,0,0
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_BoomJump,164,105,44
2025-09-27T00:00:00.000Z,Threes_Silver_Ability_DivineStrength,542,277,91
2025-09-27T00:00:00.000Z,Twos_Gold_Style_Hirugami,2,1,1
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Tadashi,3,3,1
2025-09-27T00:00:00.000Z,Sixes_Gold_Ability_SteelBlock,6,6,6
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_TeamSpirit,2812,876,377
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_Shoyo,102,19,2
2025-09-27T00:00:00.000Z,Fours_Gold_Ability_RedirectionJump,45,43,11
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Tobio,540,221,78
2025-09-27T00:00:00.000Z,Threes_Bronze_Ability_Moonball,2674,898,268
2025-09-27T00:00:00.000Z,Fours_Bronze_Style_Wakatoshi,369,79,10
2025-09-27T00:00:00.000Z,Twos_Gold_Ability_RedirectionJump,715,520,276
2025-09-27T00:00:00.000Z,Threes_Gold_Ability_Moonball,2,2,1
2025-09-27T00:00:00.000Z,Sixes_Silver_Ability_SuperSprint,7,5,0
2025-09-27T00:00:00.000Z,Threes_Silver_Ability_FourthTouch,1497,965,374
2025-09-27T00:00:00.000Z,Threes_Bronze_Style_TimeskipShoyo,227,150,52
2025-09-27T00:00:00.000Z,Sixes_Silver_Ability_RollingThunder,6,5,0
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Ryunosuke,66,23,9
2025-09-27T00:00:00.000Z,Twos_Silver_Style_Tetsuro,527,148,70
2025-09-27T00:00:00.000Z,Twos_Bronze_Style_Tetsuro,2414,597,237
2025-09-27T00:00:00.000Z,Fours_Bronze_Ability_BoomJump,892,338,73
2025-09-27T00:00:00.000Z,Twos_Bronze_Ability_MagneticPull,28566,15120,8175
2025-09-27T00:00:00.000Z,Threes_Silver_Style_Koshi,12,8,1
